data_atualizacao,data_aplicaçao,tipo,media_tempo_gasto,total
2021-07-02,2021-06-28,inconsistent,0,6
2021-07-02,2021-06-28,consistent,2,10016
2021-07-02,2021-06-29,inconsistent,0,4
2021-07-02,2021-06-29,consistent,2,8915
2021-07-02,2021-06-30,consistent,2,6128
2021-07-02,2021-07-01,consistent,3,14581
2021-07-02,2021-07-02,consistent,1,86
2021-07-02,2021-07-02,consistent,2,1646
2021-07-02,2021-06-30,consistent,2,6186
2021-07-02,2021-07-01,consistent,2,14700
2021-07-02,2021-06-29,inconsistent,0,4
2021-07-02,2021-06-29,consistent,2,8960
2021-07-02,2021-06-28,inconsistent,0,6
2021-07-02,2021-06-28,consistent,2,10026
2021-07-02,2021-07-02,consistent,2,5175
2021-07-02,2021-06-30,consistent,2,6339
2021-07-02,2021-07-01,inconsistent,0,2
2021-07-02,2021-07-01,consistent,3,14929
2021-07-02,2021-06-29,inconsistent,0,4
2021-07-02,2021-06-29,consistent,2,9027
2021-07-02,2021-06-28,inconsistent,0,6
2021-07-02,2021-06-28,consistent,2,10028
2021-07-02,2021-06-30,consistent,3,6440
2021-07-02,2021-07-02,consistent,3,7264
2021-07-02,2021-07-01,inconsistent,0,2
2021-07-02,2021-07-01,consistent,4,15191
2021-07-02,2021-06-29,inconsistent,0,4
2021-07-02,2021-06-29,consistent,3,9033
2021-07-02,2021-06-28,inconsistent,0,6
2021-07-02,2021-06-28,consistent,3,10034
2021-07-03,2021-07-02,inconsistent,0,2
2021-07-03,2021-07-02,consistent,2,9278
2021-07-03,2021-07-01,inconsistent,0,2
2021-07-03,2021-07-01,consistent,2,15453
2021-07-03,2021-06-30,consistent,2,6493
2021-07-03,2021-06-29,inconsistent,0,4
2021-07-03,2021-06-29,consistent,2,9042
2021-07-03,2021-06-28,inconsistent,0,6
2021-07-03,2021-06-28,consistent,2,10075
2021-07-03,2021-07-02,inconsistent,0,2
2021-07-03,2021-07-02,consistent,2,9285
2021-07-03,2021-06-30,consistent,2,6494
2021-07-03,2021-07-01,inconsistent,0,2
2021-07-03,2021-07-01,consistent,3,15455
2021-07-03,2021-07-02,inconsistent,0,2
2021-07-03,2021-07-02,consistent,2,9285
2021-07-03,2021-07-01,inconsistent,0,2
2021-07-03,2021-07-01,consistent,2,15455
2021-07-03,2021-06-30,consistent,2,6494
2021-07-03,2021-07-03,consistent,1,3
2021-07-03,2021-07-01,inconsistent,0,2
2021-07-03,2021-07-01,consistent,2,16460
2021-07-03,2021-07-02,inconsistent,0,2
2021-07-03,2021-07-02,consistent,2,19542
2021-07-03,2021-06-30,consistent,2,6498
2021-07-03,2021-06-29,inconsistent,0,4
2021-07-03,2021-06-29,consistent,2,9044
2021-07-03,2021-07-03,consistent,2,2060
2021-07-03,2021-07-02,inconsistent,0,2
2021-07-03,2021-07-01,inconsistent,0,2
2021-07-03,2021-07-02,consistent,2,19584
2021-07-03,2021-07-01,consistent,2,16467
2021-07-03,2021-06-30,consistent,2,6500
2021-07-03,2021-06-29,inconsistent,0,4
2021-07-03,2021-06-29,consistent,2,9045
2021-07-03,2021-06-28,inconsistent,0,6
2021-07-03,2021-06-28,consistent,2,10084
2021-07-03,2021-07-03,inconsistent,0,40
2021-07-03,2021-07-03,consistent,2,6595
2021-07-03,2021-07-02,inconsistent,0,2
2021-07-03,2021-07-01,inconsistent,0,2
2021-07-03,2021-07-02,consistent,2,20018
2021-07-03,2021-07-01,consistent,2,16744
2021-07-03,2021-06-30,consistent,2,6769
2021-07-03,2021-06-29,inconsistent,0,4
2021-07-03,2021-06-29,consistent,2,9060
2021-07-03,2021-06-28,inconsistent,0,6
2021-07-03,2021-06-28,consistent,2,10093
2021-07-03,2021-07-03,inconsistent,0,42
2021-07-03,2021-07-03,consistent,3,8183
2021-07-03,2021-07-01,inconsistent,0,2
2021-07-03,2021-07-02,inconsistent,0,2
2021-07-03,2021-06-30,consistent,2,6771
2021-07-03,2021-07-01,consistent,3,16747
2021-07-03,2021-07-02,consistent,3,20303
2021-07-03,2021-06-29,inconsistent,0,4
2021-07-03,2021-06-29,consistent,2,9061
2021-07-03,2021-06-28,inconsistent,0,6
2021-07-03,2021-06-28,consistent,2,10095
2021-07-04,2021-07-03,inconsistent,0,42
2021-07-04,2021-07-03,consistent,2,9114
2021-07-04,2021-07-02,inconsistent,0,6
2021-07-04,2021-07-02,consistent,3,20474
