data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-03-04,2021-06-30,inconsistent,0,250
2021-03-04,2021-06-30,consistent,5,19261
2021-03-03,2021-06-30,inconsistent,0,404
2021-03-03,2021-06-30,consistent,4,19789
2021-03-02,2021-06-30,inconsistent,0,305
2021-03-02,2021-06-30,consistent,5,20165
2021-03-01,2021-06-30,inconsistent,0,283
2021-03-01,2021-06-30,consistent,4,17038
2021-02-28,2021-06-30,inconsistent,0,11
2021-02-28,2021-06-30,consistent,2,5240
2021-02-27,2021-06-30,inconsistent,0,32
2021-02-27,2021-06-30,consistent,2,6599
2021-02-26,2021-06-30,inconsistent,0,88
2021-02-26,2021-06-30,consistent,5,15863
2021-02-25,2021-06-30,inconsistent,0,627
2021-02-25,2021-06-30,consistent,3,9780
2021-02-24,2021-06-30,inconsistent,0,38
2021-02-24,2021-06-30,consistent,3,8734
2021-02-23,2021-06-30,inconsistent,0,30
2021-02-23,2021-06-30,consistent,4,10836
2021-02-22,2021-06-30,inconsistent,0,46
2021-02-22,2021-06-30,consistent,3,10564
2021-02-21,2021-06-30,consistent,3,2261
2021-02-20,2021-06-30,inconsistent,0,10
2021-02-20,2021-06-30,consistent,2,2239
2021-02-19,2021-06-30,inconsistent,0,92
2021-02-19,2021-06-30,consistent,4,12093
2021-02-18,2021-06-30,inconsistent,0,156
2021-02-18,2021-06-30,consistent,4,15014
2021-02-17,2021-06-30,inconsistent,0,96
2021-02-17,2021-06-30,consistent,5,11314
2021-02-16,2021-06-30,inconsistent,0,416
2021-02-16,2021-06-30,consistent,4,10370
2021-02-15,2021-06-30,inconsistent,0,466
2021-02-15,2021-06-30,consistent,4,11275
2021-02-14,2021-06-30,inconsistent,0,132
2021-02-14,2021-06-30,consistent,3,3414
2021-02-13,2021-06-30,inconsistent,0,19
2021-02-13,2021-06-30,consistent,0,2854
2021-02-12,2021-06-30,inconsistent,0,310
2021-02-12,2021-06-30,consistent,1,13461
2021-02-11,2021-06-30,inconsistent,0,503
2021-02-11,2021-06-30,consistent,2,17581
2021-02-10,2021-06-30,inconsistent,0,304
2021-02-10,2021-06-30,consistent,2,15893
2021-02-09,2021-06-30,inconsistent,0,210
2021-02-09,2021-06-30,consistent,2,12123
2021-02-08,2021-06-30,inconsistent,0,170
2021-02-08,2021-06-30,consistent,2,8999
2021-02-07,2021-06-30,inconsistent,0,16
2021-02-07,2021-06-30,consistent,0,505
2021-02-06,2021-06-30,inconsistent,0,22
2021-02-06,2021-06-30,consistent,0,1725
2021-02-05,2021-06-30,inconsistent,0,226
2021-02-05,2021-06-30,consistent,2,10190
2021-02-04,2021-06-30,inconsistent,0,147
2021-02-04,2021-06-30,consistent,3,11870
2021-02-03,2021-06-30,inconsistent,0,146
2021-02-03,2021-06-30,consistent,3,13167
2021-02-02,2021-06-30,inconsistent,0,131
2021-02-02,2021-06-30,consistent,3,12500
2021-02-01,2021-06-30,inconsistent,0,191
2021-02-01,2021-06-30,consistent,3,13098
2021-01-31,2021-06-30,inconsistent,0,38
2021-01-31,2021-06-30,consistent,1,2054
2021-01-30,2021-06-30,inconsistent,0,133
2021-01-30,2021-06-30,consistent,1,4716
2021-01-29,2021-06-30,inconsistent,0,292
2021-01-29,2021-06-30,consistent,5,18321
2021-01-28,2021-06-30,inconsistent,0,342
2021-01-28,2021-06-30,consistent,4,20441
2021-01-27,2021-06-30,inconsistent,0,90
2021-01-27,2021-06-30,consistent,2,12554
2021-01-26,2021-06-30,inconsistent,0,78
2021-01-26,2021-06-30,consistent,2,8565
2021-01-25,2021-06-30,inconsistent,0,74
2021-01-25,2021-06-30,consistent,1,7957
2021-01-24,2021-06-30,inconsistent,0,20
2021-01-24,2021-06-30,consistent,0,1251
2021-01-23,2021-06-30,inconsistent,0,130
2021-01-23,2021-06-30,consistent,0,2559
2021-01-22,2021-06-30,inconsistent,0,296
2021-01-22,2021-06-30,consistent,2,10575
2021-01-21,2021-06-30,inconsistent,0,192
2021-01-21,2021-06-30,consistent,2,13656
2021-01-20,2021-06-30,inconsistent,0,145
2021-01-20,2021-06-30,consistent,3,11040
2021-01-19,2021-06-30,inconsistent,0,22
2021-01-19,2021-06-30,consistent,1,2972
2021-01-18,2021-06-30,consistent,0,34
2021-01-17,2021-06-30,consistent,0,12
2021-01-12,2021-06-30,wrong_date,1,4
2020-03-23,2021-06-30,wrong_date,1,24
